chapter,chapter_text,heading,heading_text,subheading,subheading_text,year_range,prior_class,prior_label,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5,nli_continuous,nli_class,nli_label,nli_uncertainty
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010591,010591 -- (-1995) Fowls of the species Gallus domesticus,all,1,Raw/Primary,0.250004,0.191685,0.131614,0.164438,0.262258,2.9973,5,Final Good,0.9805
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010592,"010592 -- (1996-2006) -- Fowls of the species Gallus domesticus, weighing not more than 2,000 g",all,1,Raw/Primary,0.255568,0.161027,0.127881,0.172083,0.283441,3.0668,5,Final Good,0.973
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010593,"010593 -- (1996-2006) -- Fowls of the species Gallus domesticus, weighing more than 2,000 g",all,1,Raw/Primary,0.241238,0.171397,0.132058,0.174097,0.28121,3.0826,5,Final Good,0.9779
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010594,010594 -- (2007-) -- Fowls of the species Gallus domesticus,all,1,Raw/Primary,0.241369,0.189083,0.129448,0.172667,0.267432,3.0357,5,Final Good,0.9809
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010599,010599 --  -- Other,all,1,Raw/Primary,0.193365,0.265074,0.105233,0.215714,0.220614,3.0051,2,Processed Material,0.9761
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010600,010600 -- (-2001) Other live animals,all,1,Raw/Primary,0.331144,0.221886,0.129425,0.146086,0.17146,2.6048,1,Raw/Primary,0.9619
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010611,010611 -- (2002-) -- Primates,all,1,Raw/Primary,0.208211,0.25115,0.118288,0.199844,0.222507,2.9773,2,Processed Material,0.9832
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010612,"010612 -- (2002-) -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",all,1,Raw/Primary,0.220964,0.203363,0.187346,0.180345,0.207982,2.951,1,Raw/Primary,0.9984
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010613,010613 -- (2012-) -- Camels and other camelids (Camelidae),all,1,Raw/Primary,0.238096,0.173177,0.153127,0.183628,0.251972,3.0382,5,Final Good,0.9887
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010614,010614 -- (2012-) -- Rabbits and hares,all,1,Raw/Primary,0.240012,0.237216,0.111943,0.188204,0.222626,2.9162,1,Raw/Primary,0.9803
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010619,010619 -- (2002-) -- Other,all,1,Raw/Primary,0.197239,0.257751,0.112603,0.217048,0.215359,2.9955,2,Processed Material,0.9803
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010620,010620 -- (2002-) - Reptiles (including snakes and turtles),all,1,Raw/Primary,0.251721,0.209296,0.127069,0.193001,0.218913,2.9181,1,Raw/Primary,0.9859
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010631,010631 -- (2002-) -- Birds of prey,all,1,Raw/Primary,0.201002,0.265505,0.111874,0.202579,0.21904,2.9731,2,Processed Material,0.979
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010632,"010632 -- (2002-) -- Psittaciformes (including parrots, parakeets, macaws and cockatoos)",all,1,Raw/Primary,0.224625,0.19573,0.135579,0.197844,0.246221,3.0453,5,Final Good,0.9887
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010633,010633 -- (2012-) -- Ostriches; emus (Dromaius novaehollandiae),all,1,Raw/Primary,0.260789,0.19267,0.121991,0.191919,0.232631,2.9429,1,Raw/Primary,0.982
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010639,010639 -- (2002-) -- Other,all,1,Raw/Primary,0.197065,0.258785,0.110436,0.216645,0.217069,2.9979,2,Processed Material,0.9793
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010641,010641 -- (2012-) -- Bees,all,1,Raw/Primary,0.174351,0.261731,0.120298,0.209692,0.233928,3.0671,2,Processed Material,0.9802
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010649,010649 -- (2012-) -- Other,all,1,Raw/Primary,0.196281,0.257,0.111728,0.214522,0.220469,3.0059,2,Processed Material,0.98
01,Animals; live,0106,"Animals; live, n.e.c. in chapter 01",010690,010690 -- (2002-) - Other,all,1,Raw/Primary,0.199757,0.25977,0.111181,0.211397,0.217895,2.9879,2,Processed Material,0.9796
02,Meat and edible meat offal,0201,Meat of bovine animals; fresh or chilled,020110,020110 --  - Carcases and half-carcases,all,1,Raw/Primary,0.135981,0.291549,0.144186,0.173244,0.25504,3.1198,2,Processed Material,0.9706
02,Meat and edible meat offal,0201,Meat of bovine animals; fresh or chilled,020120,020120 --  - Other cuts with bone in,all,1,Raw/Primary,0.178569,0.275764,0.123209,0.211229,0.211229,3.0008,2,Processed Material,0.9803
02,Meat and edible meat offal,0201,Meat of bovine animals; fresh or chilled,020130,020130 --  - Boneless,all,1,Raw/Primary,0.193854,0.284268,0.08502,0.194423,0.242436,3.0073,2,Processed Material,0.9613
02,Meat and edible meat offal,0202,Meat of bovine animals; frozen,020210,020210 --  - Carcases and half-carcases,all,1,Raw/Primary,0.138047,0.29253,0.143266,0.173488,0.25267,3.1102,2,Processed Material,0.971
02,Meat and edible meat offal,0202,Meat of bovine animals; frozen,020220,020220 --  - Other cuts with bone in,all,1,Raw/Primary,0.17852,0.276227,0.122695,0.209732,0.212827,3.0021,2,Processed Material,0.98
02,Meat and edible meat offal,0202,Meat of bovine animals; frozen,020230,020230 --  - Boneless,all,1,Raw/Primary,0.195974,0.284862,0.085364,0.192747,0.241052,2.998,2,Processed Material,0.9615
02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen",020311,020311 --  -- Carcases and half-carcases,all,1,Raw/Primary,0.148694,0.289145,0.139685,0.172488,0.24999,3.0859,2,Processed Material,0.9735
02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen",020312,"020312 --  -- Hams, shoulders and cuts thereof, with bone in",all,1,Raw/Primary,0.212962,0.25638,0.12028,0.191084,0.219293,2.9474,2,Processed Material,0.983
02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen",020319,020319 --  -- Other,all,1,Raw/Primary,0.198702,0.262212,0.101686,0.214429,0.222971,3.0008,2,Processed Material,0.9751
02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen",020321,020321 --  -- Carcases and half-carcases,all,1,Raw/Primary,0.148483,0.289018,0.139487,0.171908,0.251103,3.0881,2,Processed Material,0.9733
02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen",020322,"020322 --  -- Hams, shoulders and cuts thereof, with bone in",all,1,Raw/Primary,0.213459,0.25748,0.117768,0.189114,0.222179,2.9491,2,Processed Material,0.9818
02,Meat and edible meat offal,0203,"Meat of swine; fresh, chilled or frozen",020329,020329 --  -- Other,all,1,Raw/Primary,0.19875,0.262531,0.101413,0.214063,0.223243,3.0005,2,Processed Material,0.9749
02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen",020410,"020410 --  - Carcases and half-carcases of lamb, fresh or chilled",all,1,Raw/Primary,0.209881,0.198905,0.11912,0.162818,0.309276,3.1627,5,Final Good,0.9698
02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen",020421,020421 --  -- Carcases and half-carcases,all,1,Raw/Primary,0.148582,0.289492,0.139035,0.172358,0.250534,3.0868,2,Processed Material,0.9732
02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen",020422,020422 --  -- Other cuts with bone in,all,1,Raw/Primary,0.180079,0.269276,0.117638,0.213015,0.219992,3.0236,2,Processed Material,0.9794
02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen",020423,020423 --  -- Boneless,all,1,Raw/Primary,0.189808,0.289422,0.083408,0.205031,0.23233,3.0007,2,Processed Material,0.9602
02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen",020430,"020430 --  - Carcases and half-carcases of lamb, frozen",all,1,Raw/Primary,0.175631,0.25011,0.105285,0.148765,0.320208,3.1878,5,Final Good,0.9551
02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen",020441,020441 --  -- Carcases and half-carcases,all,1,Raw/Primary,0.146144,0.291211,0.140272,0.16887,0.253503,3.0924,2,Processed Material,0.9718
02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen",020442,020442 --  -- Other cuts with bone in,all,1,Raw/Primary,0.177747,0.270767,0.117713,0.211699,0.222075,3.0296,2,Processed Material,0.9789
02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen",020443,020443 --  -- Boneless,all,1,Raw/Primary,0.191992,0.290759,0.082898,0.201403,0.232948,2.9926,2,Processed Material,0.9597
02,Meat and edible meat offal,0204,"Meat of sheep or goats; fresh, chilled or frozen",020450,020450 --  - Meat of goats,all,1,Raw/Primary,0.240835,0.230931,0.112437,0.16043,0.255368,2.9586,5,Final Good,0.975
02,Meat and edible meat offal,0205,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",020500,"020500 --  Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",all,1,Raw/Primary,0.288667,0.224814,0.113044,0.154512,0.218964,2.7903,1,Raw/Primary,0.9704
02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",020610,"020610 --  - Of bovine animals, fresh or chilled",all,1,Raw/Primary,0.256628,0.167808,0.135101,0.18978,0.250683,3.0101,1,Raw/Primary,0.9825
02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",020621,020621 --  -- Tongues,all,1,Raw/Primary,0.180229,0.266621,0.09647,0.214865,0.241815,3.0714,2,Processed Material,0.9696
02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",020622,020622 --  -- Livers,all,1,Raw/Primary,0.154055,0.270639,0.111179,0.23399,0.230137,3.1155,2,Processed Material,0.9718
02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",020629,020629 --  -- Other,all,1,Raw/Primary,0.198843,0.261629,0.102455,0.214162,0.222911,3.0007,2,Processed Material,0.9755
02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",020630,"020630 --  - Of swine, fresh or chilled",all,1,Raw/Primary,0.221084,0.242813,0.099943,0.202878,0.233283,2.9845,2,Processed Material,0.9759
02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",020641,020641 --  -- Livers,all,1,Raw/Primary,0.158383,0.26863,0.111872,0.23067,0.230445,3.1062,2,Processed Material,0.9734
02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",020649,020649 --  -- Other,all,1,Raw/Primary,0.199225,0.262388,0.101754,0.213946,0.222686,2.9985,2,Processed Material,0.9751
02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",020680,"020680 --  - Other, fresh or chilled",all,1,Raw/Primary,0.19614,0.248914,0.110455,0.215628,0.228863,3.0322,2,Processed Material,0.98
02,Meat and edible meat offal,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",020690,"020690 --  - Other, frozen",all,1,Raw/Primary,0.147266,0.294307,0.104631,0.223242,0.230553,3.0955,2,Processed Material,0.9639
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020710,"020710 -- (-1995) Poultry not cut in pieces, fresh or chilled",all,1,Raw/Primary,0.191219,0.227301,0.135727,0.171576,0.274177,3.1102,5,Final Good,0.9826
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020711,"020711 -- (1996-) -- Not cut in pieces, fresh or chilled",all,1,Raw/Primary,0.182163,0.273726,0.099137,0.227592,0.217382,3.0243,2,Processed Material,0.9709
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020712,"020712 -- (1996-) -- Not cut in pieces, frozen",all,1,Raw/Primary,0.193545,0.274279,0.083978,0.227163,0.221036,3.0079,2,Processed Material,0.9637
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020713,"020713 -- (1996-) -- Cuts and offal, fresh or chilled",all,1,Raw/Primary,0.232487,0.258599,0.129146,0.170757,0.209011,2.8652,2,Processed Material,0.9831
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020714,"020714 -- (1996-) -- Cuts and offal, frozen",all,1,Raw/Primary,0.168564,0.299034,0.14418,0.148177,0.240046,2.9921,2,Processed Material,0.9729
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020721,020721 -- (-1995) Fowls of the species Gallus domesticus,all,1,Raw/Primary,0.253504,0.194178,0.131003,0.157712,0.263602,2.9837,5,Final Good,0.9787
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020722,020722 -- (-1995) Turkeys,all,1,Raw/Primary,0.164265,0.277791,0.114117,0.223648,0.22018,3.0577,2,Processed Material,0.9745
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020723,"020723 -- (-1995) Ducks, geese and guinea fowls",all,1,Raw/Primary,0.228304,0.236243,0.112578,0.193004,0.22987,2.9599,2,Processed Material,0.9814
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020724,"020724 -- (1996-) -- Not cut in pieces, fresh or chilled",all,1,Raw/Primary,0.183888,0.274973,0.098525,0.225305,0.217309,3.0172,2,Processed Material,0.9707
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020725,"020725 -- (1996-) -- Not cut in pieces, frozen",all,1,Raw/Primary,0.193235,0.277337,0.083925,0.225253,0.22025,3.0019,2,Processed Material,0.9632
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020726,"020726 -- (1996-) -- Cuts and offal, fresh or chilled",all,1,Raw/Primary,0.229269,0.259542,0.128357,0.170378,0.212454,2.8772,2,Processed Material,0.9829
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020727,"020727 -- (1996-) -- Cuts and offal, frozen",all,1,Raw/Primary,0.169752,0.297923,0.141833,0.146621,0.243871,2.9969,2,Processed Material,0.972
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020731,020731 -- (-1995) Fatty livers of geese or ducks,all,1,Raw/Primary,0.196444,0.264602,0.142047,0.190028,0.206879,2.9463,2,Processed Material,0.9881
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020732,"020732 -- (1996-2011) -- Not cut in pieces, fresh or chilled",all,1,Raw/Primary,0.181999,0.288852,0.093685,0.210505,0.224958,3.0076,2,Processed Material,0.9657
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020733,"020733 -- (1996-2011) -- Not cut in pieces, frozen",all,1,Raw/Primary,0.184187,0.302785,0.079683,0.211172,0.222172,2.9844,2,Processed Material,0.9553
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020734,"020734 -- (1996-2011) -- Fatty livers, fresh or chilled",all,1,Raw/Primary,0.180419,0.257934,0.11925,0.201272,0.241126,3.0648,2,Processed Material,0.9803
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020735,"020735 -- (1996-2011) -- Other, fresh or chilled",all,1,Raw/Primary,0.200799,0.252104,0.105504,0.216269,0.225324,3.0132,2,Processed Material,0.978
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020736,"020736 -- (1996-2011) -- Other, frozen",all,1,Raw/Primary,0.171667,0.278915,0.100426,0.21595,0.233042,3.0598,2,Processed Material,0.9692
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020739,020739 -- (-1995) Other,all,1,Raw/Primary,0.20033,0.26128,0.110957,0.209126,0.218307,2.9838,2,Processed Material,0.9793
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020741,"020741 --  -- Not cut in pieces, fresh or chilled",all,1,Raw/Primary,0.179945,0.282817,0.095195,0.223072,0.218971,3.0183,2,Processed Material,0.9674
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020742,"020742 --  -- Not cut in pieces, frozen",all,1,Raw/Primary,0.181222,0.289592,0.082969,0.229534,0.216683,3.0109,2,Processed Material,0.9594
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020743,"020743 --  -- Fatty livers, fresh or chilled",all,1,Raw/Primary,0.149708,0.275354,0.126313,0.210093,0.238532,3.1124,2,Processed Material,0.9758
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020744,"020744 -- (2012-) -- Other, fresh or chilled",all,1,Raw/Primary,0.201568,0.246244,0.111643,0.214359,0.226187,3.0174,2,Processed Material,0.9811
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020745,"020745 -- (2012-) -- Other, frozen",all,1,Raw/Primary,0.159561,0.281409,0.106498,0.222178,0.230353,3.0824,2,Processed Material,0.9696
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020750,"020750 -- (-1995) Poultry livers, frozen",all,1,Raw/Primary,0.175902,0.246372,0.107737,0.187247,0.282743,3.1546,5,Final Good,0.9704
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020751,"020751 -- (2012-) -- Not cut in pieces, fresh or chilled",all,1,Raw/Primary,0.183353,0.278218,0.097378,0.218803,0.222248,3.0184,2,Processed Material,0.9696
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020752,"020752 -- (2012-) -- Not cut in pieces, frozen",all,1,Raw/Primary,0.191075,0.28572,0.080512,0.218428,0.224264,2.9991,2,Processed Material,0.9597
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020753,"020753 -- (2012-) -- Fatty livers, fresh or chilled",all,1,Raw/Primary,0.173553,0.262321,0.125006,0.19437,0.244749,3.0744,2,Processed Material,0.9803
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020754,"020754 -- (2012-) -- Other, fresh or chilled",all,1,Raw/Primary,0.201282,0.246375,0.111376,0.215102,0.225866,3.0179,2,Processed Material,0.981
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020755,"020755 -- (2012-) -- Other, frozen",all,1,Raw/Primary,0.160099,0.281806,0.106233,0.221409,0.230453,3.0803,2,Processed Material,0.9696
02,Meat and edible meat offal,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",020760,020760 -- (2012-) - Of guinea fowls,all,1,Raw/Primary,0.204961,0.251124,0.106957,0.198268,0.23869,3.0146,2,Processed Material,0.9778
02,Meat and edible meat offal,0208,"Meat and edible meat offal, n.e.c. in chapter 2; fresh, chilled or frozen",020810,020810 --  - Of rabbits or hares,all,1,Raw/Primary,0.235998,0.24902,0.10401,0.179538,0.231433,2.9214,2,Processed Material,0.9751
