annotator,batch_type,subheading,subheading_text,chapter,heading_text,chapter_text,heading,domain,prior_class,prior_label,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5,nli_class,nli_label,nli_uncertainty,prior_nli_agree,expected_stage,overlap_reason,label,stage_name,flagged,confidence,note
Apuela,overlap,853939,"Lamps: discharge, (excluding ultra-violet, excluding fluorescent, hot cathode)",85,"Lamps; electric filament or discharge lamps, including sealed beam lamp units and ultra-violet or infra-red lamps, arc lamps, light-emitting diode (LED) light sources","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8539,D5,4.0,Manufactured Component,0.1963571280783843,0.3092585755995128,0.1597763574156707,0.0648242970582202,0.2697836418482118,2,Primary Processed,0.936,False,,high_uncertainty,,,,,
Apuela,overlap,911390,"Watch straps, watch bands, watch bracelets, and parts thereof: n.e.c. in heading no. 9113",91,"Watch straps, watch bands, watch bracelets and parts thereof",Clocks and watches and parts thereof,9113,D5,5.0,Assembled/Finished,0.2409747591215284,0.2722557373538125,0.1607529455114811,0.0526754797271256,0.2733410782860522,5,Assembled/Finished,0.9323,True,,high_uncertainty,,,,,
Apuela,overlap,880330,Aircraft and spacecraft: parts of aeroplanes or helicopters n.e.c. in heading no. 8803,88,,"Aircraft, spacecraft, and parts thereof",8803,D5,5.0,Assembled/Finished,0.1504246659766733,0.3452265118908812,0.2783632402880448,0.1245609354031504,0.1014246464412501,2,Primary Processed,0.9318,False,,high_uncertainty,,,,,
Apuela,overlap,845899,"Lathes: for removing metal, other than horizontal or numerically controlled lathes",84,Lathes for removing metal,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8458,D5,4.0,Manufactured Component,0.2422337979078292,0.1856028139591217,0.062952697277069,0.1641776710748672,0.3450330197811126,5,Assembled/Finished,0.9282,False,,high_uncertainty,,,,,
Apuela,overlap,841320,"Pumps: hand, fitted or designed to be fitted with a measuring device, for liquids, other than those of item no. 8413.11 or 8413.19",84,"Pumps; for liquids, whether or not fitted with measuring device, liquid elevators","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8413,D5,4.0,Manufactured Component,0.1138009694889548,0.186329565433024,0.3184075176122605,0.2973683587226405,0.08409358874312,3,Fabricated Material,0.9281,False,,high_uncertainty,,,,,
Apuela,overlap,811222,Chromium: waste and scrap,81,"Beryllium, chromium, hafnium, rhenium, thallium, cadmium, germanium, vanadium, gallium, indium and niobium (columbium), articles of these metals, including waste and scrap","Metals; n.e.c., cermets and articles thereof",8112,D4,2.0,Primary Processed,0.1843780402794656,0.2857819391193796,0.0985472789922767,0.3330734297458892,0.0982193118629888,4,Manufactured Component,0.9271,False,,high_uncertainty,,,,,
Apuela,overlap,821420,Manicure or pedicure sets and instruments: (including nail files),82,"Cutlery; other articles, (e.g. hair clippers, butchers' or kitchen cleavers, choppers and mincing knives, paper knives), manicure or pedicure sets and instruments (including nail files)","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8214,D4,4.0,Manufactured Component,0.1060652780263995,0.1728062706950129,0.2091778014232725,0.1197891735936331,0.3921614762616817,5,Assembled/Finished,0.9257,False,,high_uncertainty,,,,,
Apuela,overlap,820340,"Tools, hand: pipe-cutters, bolt croppers, perforating punches and similar tools",82,"Tools, hand; files, rasps, pliers (including cutting pliers), pincers, tweezers, metal cutting shears, pipe cutters, bolt croppers, perforating punches and similar","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8203,D4,4.0,Manufactured Component,0.1120195959802062,0.1246257023969508,0.1595158094275934,0.4045316188514616,0.1993072733437879,4,Manufactured Component,0.9228,True,,high_uncertainty,,,,,
Apuela,overlap,901490,Navigational instruments and appliances: parts and accessories,90,Navigational instruments and appliances; direction finding compasses,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",9014,D5,4.0,Manufactured Component,0.1667468398737752,0.4039126869518142,0.1740089052311564,0.1636657419503561,0.0916658259928978,2,Primary Processed,0.9223,False,,high_uncertainty,,,,,
Apuela,overlap,843142,Machinery parts: bulldozer or angledozer blades,84,Machinery parts; used solely or principally with the machinery of heading no. 8425 to 8430,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8431,D5,4.0,Manufactured Component,0.2388845937945512,0.3396367284493176,0.0701495589382749,0.2381482379800783,0.1131808808377778,2,Primary Processed,0.9217,False,,high_uncertainty,,,,,
Apuela,overlap,750120,Nickel: oxide sinters and other intermediate products of nickel metallurgy,75,Nickel mattes; nickel oxide sinters and other intermediate products of nickel metallurgy,Nickel and articles thereof,7501,D4,2.0,Primary Processed,0.2090642091910776,0.1234750487364814,0.1592638147096689,0.401611077737478,0.1065858496252939,4,Manufactured Component,0.9215,False,,high_uncertainty,,,,,
Apuela,overlap,860719,"Railway or tramway locomotives or rolling stock: parts, axles and wheels, and parts thereof",86,Railway or tramway locomotives or rolling stock; parts thereof,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",8607,D5,5.0,Assembled/Finished,0.1402133297983804,0.278510251000829,0.0787505381927054,0.1444974882750954,0.3580283927329896,5,Assembled/Finished,0.9189,True,,high_uncertainty,,,,,
Apuela,overlap,800120,"Tin: unwrought, alloys",80,Tin; unwrought,Tin; articles thereof,8001,D4,2.0,Primary Processed,0.3508084560144432,0.1837866977663847,0.057718536387771,0.2604152070901069,0.1472711027412941,1,Raw/Unprocessed,0.917,False,,high_uncertainty,,,,,
Apuela,overlap,820190,"Tools, hand: forks, scythes, sickles, hay knives, timber wedges, and other hand tools of a kind used in agriculture, horticulture or forestry n.e.c. in heading 8201",82,"Tools, hand; spades, shovels, mattocks, picks, hoes, forks, rakes; axes, bill hooks etc; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools used in agriculture, horticulture, forestry","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8201,D4,4.0,Manufactured Component,0.0824176134480248,0.2216986135913888,0.0960005742311905,0.2388770609257415,0.3610061378036542,5,Assembled/Finished,0.9162,False,,high_uncertainty,,,,,
Apuela,overlap,902230,X-ray tubes,90,"Apparatus based on the use of x-rays or of alpha, beta, gamma or other ionising radiations, whether or not for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus, x-ray tubes and other x-ray generators, high tens","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",9022,D5,4.0,Manufactured Component,0.1635244549633732,0.335179073183949,0.1066052208321251,0.0826463208588332,0.3120449301617194,2,Primary Processed,0.9137,False,,high_uncertainty,,,,,
Apuela,overlap,811252,Thallium: waste and scrap,81,"Beryllium, chromium, hafnium, rhenium, thallium, cadmium, germanium, vanadium, gallium, indium and niobium (columbium), articles of these metals, including waste and scrap","Metals; n.e.c., cermets and articles thereof",8112,D4,2.0,Primary Processed,0.2227551274670622,0.2631318192740732,0.0729661413143235,0.3440627949219109,0.09708411702263,4,Manufactured Component,0.9136,False,,high_uncertainty,,,,,
Apuela,overlap,841490,"Pumps and compressors: parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan",84,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan; gas-tight biological safety cabinets whether or not fitted with filters","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8414,D5,4.0,Manufactured Component,0.1237224107703386,0.4028010636359374,0.1205317071040592,0.2386769187548986,0.114267899734766,2,Primary Processed,0.9131,False,,high_uncertainty,,,,,
Apuela,overlap,843629,Poultry-keeping machinery: other than incubators and brooders,84,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8436,D5,4.0,Manufactured Component,0.3936159850118162,0.1948759228754651,0.1209749933931977,0.0714273069586261,0.2191057917608947,1,Raw/Unprocessed,0.9086,False,,high_uncertainty,,,,,
